SEM_Pre-B_Lymphocyte | MLLT1 | ID:59168
MM1.S_B_Lymphocyte_Blood | BRD3 | ID:43050
GM12878_B_Lymphocyte_Blood | H3K36me3 | ID:42285
iPS-20b_Cell_Line | H3K27ac | Roadmap
B_Lymphocyte | CD74 | ID:76931
T_Lymphocyte_Blood | H3K27ac | ID:36142
MM1.S_B_Lymphocyte_Blood | POLR2A | ID:33931
T_Lymphocyte | H3K4me3 | ID:69047
B_Lymphocyte_Blood | CDK9 | ID:40226
B_Lymphocyte_Blood | BRD4 | ID:40022
GM12878_B_Lymphocyte_Blood | FAIRE | ID:33600
Gen2.2_Plasmacytoid_dendritic_cell | TCF4 | ID:72366
P493-6_B_cell_lymphoma | MAX | ID:33162
T_Lymphocyte_Blood | H3K4me2 | ID:48014
T_Lymphocyte_Blood | H3K4me2 | ID:47943
T_Lymphocyte_Blood | H3K4me2 | ID:47980
Neural_crest_cell_Cranial | H3K4me1 | ID:35630
GM12878_B_Lymphocyte_Blood | POLR2A | ID:5005
Namalwa_B_Lymphocyte | PAX5 | ID:34466
OCI-Ly10_B_Lymphocyte_Bone_Marrow | STAT3 | ID:42212
T_Lymphocyte_Blood | H3K4me2 | ID:48013
P493-6_B_cell_lymphoma | H3K4me3 | ID:33166
GM12878_B_Lymphocyte_Blood | YY1 | ID:7060
MM1.S_B_Lymphocyte_Blood | BRD4 | ID:39002
CAL-1_Plasmacytoid_dendritic_cell | TCF4 | ID:72367
GM12878_B_Lymphocyte_Blood | DNase | ID:6714
T_Lymphocyte | H3K4me3 | ID:69055
T_Lymphocyte | H3K4me2 | ID:69066
Mutu_III_B_Lymphocyte | EBNA3 | ID:38174
Raji_B_Lymphocyte_Blood | POLR2A | ID:81320
ML-2_Monocyte | H3K79me2 | ID:73694
Raji_B_Lymphocyte_Blood | POLR2A | ID:81321
T_Lymphocyte_Blood | H3K4me2 | ID:48003
GM12878_B_Lymphocyte_Blood | CEBPA | ID:48279
Monocyte_Blood | H2Bub | ID:84913
SU-DHL6_B_Lymphocyte_Lymph_Node | STAT3 | ID:42219
T_Lymphocyte_Blood | H3K4me2 | ID:47920
Ramos_B_Lymphocyte | NIPBL | ID:50517
SEM_B_Lymphocyte | LEO1 | ID:73696
T_Lymphocyte_Blood | H3K4me2 | ID:47919
T_Lymphocyte_Blood | H4K16ac | ID:4101
Raji_B_Lymphocyte_Blood | POLR2A | ID:47803
Monocyte_Blood | IRF5 | ID:37183
B_Lymphocyte_Tonsil | H3K27ac | ID:51701
B_Lymphocyte_Blood | ATAC-seq | ID:61828
GM12878_B_Lymphocyte_Blood | ETS1 | ID:46117
T_Lymphocyte_Blood | H3K4me2 | ID:48023
