Feature	Importance
T_Lymphocyte_Blood | H3K4me1 | ID:8161	0.001077
Monocyte_Blood | H4K20me1 | ID:45439	0.001062
T_Lymphocyte_Blood | H3K27ac | ID:44102	0.001062
Monocyte_Blood | H3K27ac | ID:41292	0.001058
Raji_B_Lymphocyte_Blood | POLR2A | ID:70963	0.001057
Blast_Cells_Blood | H3K9me2 | ID:75065	0.001052
GM12878_B_Lymphocyte_Blood | ZMYM3 | ID:74662	0.001051
Monocyte_Blood | H3K27ac | ID:36159	0.001047
T_Lymphocyte_Blood | H3K4me3 | ID:58749	0.001041
T_Lymphocyte_Blood | H3K27ac | ID:38114	0.001038
T_Lymphocyte_Blood | H3K27me3 | ID:49186	0.001028
CD8_Naive_Primary_Cells | H3K36me3 | Roadmap	0.001028
Monocyte_Blood | H2Bub | ID:89049	0.001026
T_Lymphocyte_Blood | H3K4me1 | ID:36466	0.001024
T_Lymphocyte_Blood | H3K4me1 | ID:44039	0.001016
T_Lymphocyte_Blood | H3K9me3 | ID:36147	0.001013
